"acc_varcompanyname";"ord_cnt";"rsp_cnt";"des_cnt";"rec_cnt";"rsp_prc";"des_prc";"rec_prc"
Мерлетто;191;38;105;118;0.1990;0.5497;0.6178
АльтерВЕСТ XXI век;594;588;376;361;0.9899;0.6330;0.6077
ЭЛЬД-КОСМЕТИК;5;5;3;3;1.0000;0.6000;0.6000
Карагезян Карен Жорович;10;6;0;6;0.6000;0.0000;0.6000
ЛЭЙН ГРАНД;316;199;190;189;0.6297;0.6013;0.5981
Пугачевхлеб;92;0;0;55;0.0000;0.0000;0.5978
Мясокомбинат Олимпия;973;872;583;581;0.8962;0.5992;0.5971
Дмитровские колбасы;497;297;286;292;0.5976;0.5755;0.5875
Поречский;41;7;7;24;0.1707;0.1707;0.5854
Савочкин А.В.;653;361;377;378;0.5528;0.5773;0.5789
Агромир;7;5;3;4;0.7143;0.4286;0.5714
Холдинговая компания Диона;453;260;250;256;0.5740;0.5519;0.5651
ИТАЛ СИТИ ФУД;11;6;6;6;0.5455;0.5455;0.5455
Дельта;93;10;1;50;0.1075;0.0108;0.5376
Хлебзавод №1;5580;5549;5527;2982;0.9944;0.9905;0.5344
Хёрст Шкулёв Паблишинг, г.Ростов-на-Дону;1444;0;0;769;0.0000;0.0000;0.5325
Кондитер - БЕСТ;96;53;51;51;0.5521;0.5313;0.5313
Авагян Маргар Агасиевич;255;243;246;135;0.9529;0.9647;0.5294
Живое Пиво;129;0;69;68;0.0000;0.5349;0.5271
Кондитер трейд;84;9;49;44;0.1071;0.5833;0.5238
Амалес;409;360;350;214;0.8802;0.8557;0.5232
Яковлев Дмитрий Михайлович;3004;0;1549;1549;0.0000;0.5156;0.5156
Хлебозавод №5;7115;0;5276;3659;0.0000;0.7415;0.5143
Зеленая дача;558;0;0;280;0.0000;0.0000;0.5018
ТД Белка;8;8;4;4;1.0000;0.5000;0.5000
Прохладное;2;2;2;1;1.0000;1.0000;0.5000
АртХаус;6;0;1;3;0.0000;0.1667;0.5000
АС Аматек;2;2;2;1;1.0000;1.0000;0.5000
Хёрст Шкулёв Паблишинг  г. Самара;1108;0;0;554;0.0000;0.0000;0.5000
Хёрст Шкулёв Паблишинг, г. Екатеринбург;150;0;0;75;0.0000;0.0000;0.5000
Хёрст Шкулёв Паблишинг, г. Тольятти;288;0;0;144;0.0000;0.0000;0.5000
РЫЖИЙ КОТ;2;0;0;1;0.0000;0.0000;0.5000
КХП ЗЛАК;6;6;3;3;1.0000;0.5000;0.5000
Сон Н.С.;178;149;150;89;0.8371;0.8427;0.5000
Хёрст Шкулёв Паблишинг, г. Липецк;6;0;0;3;0.0000;0.0000;0.5000
Кристер;2;0;1;1;0.0000;0.5000;0.5000
Хёрст Шкулёв Паблишинг, г. Пермь;158;0;0;78;0.0000;0.0000;0.4937
СдобС;51;31;37;25;0.6078;0.7255;0.4902
Хёрст Шкулёв Паблишинг, г. Ульяновск;319;0;0;155;0.0000;0.0000;0.4859
Хёрст Шкулёв Паблишинг, г. Оренбург;175;0;0;85;0.0000;0.0000;0.4857
Крюков Вячеслав Михайлович;33;0;0;16;0.0000;0.0000;0.4848
Клевер Дистрибьюция;56;1;2;27;0.0179;0.0357;0.4821
Хёрст Шкулёв Паблишинг, г. Челябинск;340;0;0;163;0.0000;0.0000;0.4794
Сказка эпохи;140;44;12;66;0.3143;0.0857;0.4714
Хёрст Шкулёв Паблишинг;176;0;0;82;0.0000;0.0000;0.4659
ЛОТОС;413;189;181;190;0.4576;0.4383;0.4600
ИмперияМОКС;7064;0;6669;3150;0.0000;0.9441;0.4459
Логист;360;0;162;159;0.0000;0.4500;0.4417
Вологодский хлебокомбинат;8551;0;0;3633;0.0000;0.0000;0.4249
Сладкая Жизнь Плюс;6130;5745;4965;2562;0.9372;0.8100;0.4179
Дон Десерт;5666;5124;5159;2351;0.9043;0.9105;0.4149
Авак;1152;0;483;470;0.0000;0.4193;0.4080
"Торговый дом ""Курская птицефабрика";1072;1060;411;434;0.9888;0.3834;0.4049
Самарский молочный двор;486;0;333;188;0.0000;0.6852;0.3868
РАПП Кавказ-мясо;842;261;0;319;0.3100;0.0000;0.3789
Йошкар-Олинский Хладокомбинат;503;192;190;185;0.3817;0.3777;0.3678
Агромясопром;743;6;33;265;0.0081;0.0444;0.3567
Подравка;77;76;45;26;0.9870;0.5844;0.3377
Три Семерки;15;9;0;5;0.6000;0.0000;0.3333
Хайят Сервис;3;1;0;1;0.3333;0.0000;0.3333
Дело;3;1;0;1;0.3333;0.0000;0.3333
Компания Сверус;16;3;5;5;0.1875;0.3125;0.3125
Унивита Петербург;317;0;52;98;0.0000;0.1640;0.3091
Хорошее дело. Мордовия;2153;1923;1874;663;0.8932;0.8704;0.3079
Ледяной дом;13;4;0;4;0.3077;0.0000;0.3077
СТМ Ритейл Сервис Групп;7;4;2;2;0.5714;0.2857;0.2857
"ПКФ ""Блюз";109;30;30;29;0.2752;0.2752;0.2661
Пилигрим-Аква;4;4;1;1;1.0000;0.2500;0.2500
Агросила-Коммерция;21722;1179;5248;5347;0.0543;0.2416;0.2462
"ТК ""Мираторг";196584;183179;169851;47049;0.9318;0.8640;0.2393
МПК Атяшевский;4189;931;921;963;0.2222;0.2199;0.2299
ВЕЛЕСКОМ;49;26;0;10;0.5306;0.0000;0.2041
ЕВРО-ОПТ;64;64;22;13;1.0000;0.3438;0.2031
БАЛТИК МАСТЕР М;114;0;0;22;0.0000;0.0000;0.1930
Пермский мясокомбинат;5181;4828;4947;848;0.9319;0.9548;0.1637
"Компания ""Проксима";21;3;3;3;0.1429;0.1429;0.1429
ТД УГУР;60;37;12;8;0.6167;0.2000;0.1333
Гранд Делис;700;0;0;91;0.0000;0.0000;0.1300
Мануйлов;28;16;15;3;0.5714;0.5357;0.1071
Булочно-кондитерский комбинат;4337;741;0;430;0.1709;0.0000;0.0991
ТД Ассорти;272;0;93;25;0.0000;0.3419;0.0919
Самарский Хлебозавод №2;2105;198;1830;181;0.0941;0.8694;0.0860
Останкино-новый стандарт;3602;1450;190;252;0.4026;0.0527;0.0700
Мирибян Зульфира Талгатовна;11380;11296;11227;797;0.9926;0.9866;0.0700
"Продовольственная группа ""Русский хлеб";1807;98;81;123;0.0542;0.0448;0.0681
Юникам;18;0;1;1;0.0000;0.0556;0.0556
ЮНГХАЙНРИХ подъемно-погрузочная техника;39;0;0;2;0.0000;0.0000;0.0513
МигАрт;20;0;1;1;0.0000;0.0500;0.0500
ПРОДО Тюменский бройлер;795;602;600;33;0.7572;0.7547;0.0415
Куприянова Елена Владимировна;252;0;3;3;0.0000;0.0119;0.0119
Свежий хлеб;6418;6338;6208;34;0.9875;0.9673;0.0053
