"acc_varcompanyname";"ord_cnt";"rsp_cnt";"des_cnt";"rec_cnt";"rsp_prc";"des_prc";"rec_prc"
НПО Агросервис;68;52;52;68;0.7647;0.7647;1.0000
ЕМЕЛЯ РУСЬ;32;32;32;32;1.0000;1.0000;1.0000
АЛЬТЕРВЕСТ ТРЕЙД;3;3;3;3;1.0000;1.0000;1.0000
Лакомка;533;533;533;533;1.0000;1.0000;1.0000
Акиба;55;53;55;55;0.9636;1.0000;1.0000
УК Базис групп;4;4;4;4;1.0000;1.0000;1.0000
Ястребов Владислав Петрович;30;30;30;30;1.0000;1.0000;1.0000
"Техинформсистем ""фирма ""ТИС";5;5;5;5;1.0000;1.0000;1.0000
Ариант плюс один;3;3;3;3;1.0000;1.0000;1.0000
ТД Сково;4;4;4;4;1.0000;1.0000;1.0000
"фруктовая компания ""АГРО";39;25;39;39;0.6410;1.0000;1.0000
Люта;10;10;10;10;1.0000;1.0000;1.0000
Кравченко Валерий Викторович;10;0;0;10;0.0000;0.0000;1.0000
Стимул-колор косметик;5;5;5;5;1.0000;1.0000;1.0000
ТВК-Кубань;10;10;10;10;1.0000;1.0000;1.0000
ВЕСКО;72;72;37;72;1.0000;0.5139;1.0000
ДИАДАР;53;28;51;53;0.5283;0.9623;1.0000
Алтек Трейд;2;2;0;2;1.0000;0.0000;1.0000
ДИАРИТ;2;0;2;2;0.0000;1.0000;1.0000
ОКЕАНСОЮЗ;1;0;1;1;0.0000;1.0000;1.0000
Дерманика-Трейд;14;14;14;14;1.0000;1.0000;1.0000
Мирата;32;32;32;32;1.0000;1.0000;1.0000
А-сантехника;2;2;2;2;1.0000;1.0000;1.0000
Нью Маркетс Менеджмент;3;3;3;3;1.0000;1.0000;1.0000
Тандем-Нижний Новгород;6;0;0;6;0.0000;0.0000;1.0000
ТК Альтернатива;4;0;0;4;0.0000;0.0000;1.0000
Пермь-Агро;68;26;27;68;0.3824;0.3971;1.0000
Птицефабрика Таганрогская;16;0;14;16;0.0000;0.8750;1.0000
Жигулёвское пиво;9;0;9;9;0.0000;1.0000;1.0000
Ручеек;11;11;11;11;1.0000;1.0000;1.0000
Артель;8;4;5;8;0.5000;0.6250;1.0000
АгроОрганик;6;0;0;6;0.0000;0.0000;1.0000
Мишель и К;12;12;12;12;1.0000;1.0000;1.0000
ВОДОЦИКЛ;2;0;0;2;0.0000;0.0000;1.0000
Орион;3;3;3;3;1.0000;1.0000;1.0000
СКБ Контур;2;0;0;2;0.0000;0.0000;1.0000
Торговый Дом Охотоморье;3;3;2;3;1.0000;0.6667;1.0000
Чечельницкая  Анастасия Александровна;56;56;41;56;1.0000;0.7321;1.0000
Уржумский спиртоводочный завод;2;2;0;2;1.0000;0.0000;1.0000
Торговая компания Евразия Фудс;46;46;46;46;1.0000;1.0000;1.0000
Лаванда;12;12;12;12;1.0000;1.0000;1.0000
ТИСИДА;2;2;2;2;1.0000;1.0000;1.0000
"Колбасный цех ""Элита";21;21;21;21;1.0000;1.0000;1.0000
Ведзижев М. Т.;14;5;6;14;0.3571;0.4286;1.0000
Геба;55;55;55;55;1.0000;1.0000;1.0000
"Купецкий дом ""Посадъ";7;7;0;7;1.0000;0.0000;1.0000
МОН ШАРМЕ;42;1;24;42;0.0238;0.5714;1.0000
РусПрод;87;87;79;87;1.0000;0.9080;1.0000
Кубанская Соляная Компания;6;6;6;6;1.0000;1.0000;1.0000
Квадрат;5;5;4;5;1.0000;0.8000;1.0000
Володарский;8;6;0;8;0.7500;0.0000;1.0000
Репьёвский крупозавод;27;0;0;27;0.0000;0.0000;1.0000
ТД ТАЙПИТ;4;4;4;4;1.0000;1.0000;1.0000
Вельд-21;9;0;9;9;0.0000;1.0000;1.0000
Мяском;33;33;33;33;1.0000;1.0000;1.0000
САИД ФРУТС;53;42;53;53;0.7925;1.0000;1.0000
"Торговый Дом ""Обуховские минеральные воды";12;12;12;12;1.0000;1.0000;1.0000
Чернышихинский мясокомбинат;33;0;0;33;0.0000;0.0000;1.0000
Ахрамеев Виталий Александрович;318;306;306;318;0.9623;0.9623;1.0000
Валентина-НН;42;42;42;42;1.0000;1.0000;1.0000
"фирма ""Калория";136;136;130;136;1.0000;0.9559;1.0000
Паритет;38;14;38;38;0.3684;1.0000;1.0000
Витаторг;5;5;5;5;1.0000;1.0000;1.0000
Тимекс Про;10;10;10;10;1.0000;1.0000;1.0000
Гудок;543;538;538;543;0.9908;0.9908;1.0000
ФУД;1;1;1;1;1.0000;1.0000;1.0000
"Компания ""Выбор";4;4;4;4;1.0000;1.0000;1.0000
Черноголовский источник;334;331;333;334;0.9910;0.9970;1.0000
Торговая компания МАКСИМА;28;28;28;28;1.0000;1.0000;1.0000
Максимов Б.Ц.;30;0;0;30;0.0000;0.0000;1.0000
Дашковка;25;0;0;25;0.0000;0.0000;1.0000
Букет Чувашии;763;762;762;763;0.9987;0.9987;1.0000
Миллениум-Регионы;26;26;0;26;1.0000;0.0000;1.0000
Апплика;1;1;1;1;1.0000;1.0000;1.0000
РОСМ;8;8;8;8;1.0000;1.0000;1.0000
Фабрика Бытовой Химии БОН;4;4;4;4;1.0000;1.0000;1.0000
КРОЛЪ и К;12;0;12;12;0.0000;1.0000;1.0000
УзГарденс;2;2;2;2;1.0000;1.0000;1.0000
УНИВЕРКОМ;36;36;36;36;1.0000;1.0000;1.0000
ЕВРОЛЮКС;3;3;3;3;1.0000;1.0000;1.0000
Меркурий;3;3;3;3;1.0000;1.0000;1.0000
ЮНИОН ИМПОРТ;12;0;0;12;0.0000;0.0000;1.0000
Сантол;30;0;0;30;0.0000;0.0000;1.0000
ИнтерФиш;9;0;0;9;0.0000;0.0000;1.0000
Немецкая Товарная Платформа;7;7;7;7;1.0000;1.0000;1.0000
Ростовский комбинат шампанских вин;8;6;8;8;0.7500;1.0000;1.0000
Скимед;4;4;4;4;1.0000;1.0000;1.0000
АгроПак;47;46;0;47;0.9787;0.0000;1.0000
Агрокомплекс Волхов;3;2;3;3;0.6667;1.0000;1.0000
Крупа;1;1;1;1;1.0000;1.0000;1.0000
Аксенов Владимир Владимирович;2;0;0;2;0.0000;0.0000;1.0000
ВеллТрейд;4;4;4;4;1.0000;1.0000;1.0000
Соль Черноземья;12;12;12;12;1.0000;1.0000;1.0000
Опытный стекольный завод;9;9;9;9;1.0000;1.0000;1.0000
Борисовская керамика;6;6;6;6;1.0000;1.0000;1.0000
Троица;2;2;2;2;1.0000;1.0000;1.0000
"ТД  ""Яблочный Спас";5;5;5;5;1.0000;1.0000;1.0000
Дальневосточная компания;8;0;5;8;0.0000;0.6250;1.0000
Криница-Трейд;29;9;29;29;0.3103;1.0000;1.0000
Талисман;4;4;2;4;1.0000;0.5000;1.0000
Бальзам;12;12;12;12;1.0000;1.0000;1.0000
МЕТРОТ;8;8;8;8;1.0000;1.0000;1.0000
БЕЛГОРОДСКИЕ ОВОЩИ;52;52;48;52;1.0000;0.9231;1.0000
БАСКОНИЯ;16;16;16;16;1.0000;1.0000;1.0000
Дельта клаб;15;15;15;15;1.0000;1.0000;1.0000
ДНЦ-МАРКЕТ;2;2;0;2;1.0000;0.0000;1.0000
Синтез;100;76;99;100;0.7600;0.9900;1.0000
Исток-Д;5;5;5;5;1.0000;1.0000;1.0000
Евросервис;4;4;0;4;1.0000;0.0000;1.0000
Ника Северо-Запад;95;0;13;95;0.0000;0.1368;1.0000
Феникс;40;40;0;40;1.0000;0.0000;1.0000
Солдатов Владимир Александрович;269;223;269;269;0.8290;1.0000;1.0000
Аква-Вита;34;34;29;34;1.0000;0.8529;1.0000
Нововоронежхлеб;213;213;213;213;1.0000;1.0000;1.0000
Пром Агро;6;6;6;6;1.0000;1.0000;1.0000
Ксанти трейдинг;8;2;6;8;0.2500;0.7500;1.0000
СОБО;4;4;4;4;1.0000;1.0000;1.0000
Тарасова Анна Альбертовна;12;12;12;12;1.0000;1.0000;1.0000
МАЛВИКЪ;8;8;8;8;1.0000;1.0000;1.0000
Национальная фруктовая компания;1;0;0;1;0.0000;0.0000;1.0000
ЭмДжиЭл;8;8;8;8;1.0000;1.0000;1.0000
Премиум фуд;3;3;1;3;1.0000;0.3333;1.0000
ОРИАНТ;15;15;13;15;1.0000;0.8667;1.0000
Пчелин Павел Витальевич;14;14;14;14;1.0000;1.0000;1.0000
Хот-ня Трейдинг;96;6;76;96;0.0625;0.7917;1.0000
Шекультиров Муса Магаметович;411;411;389;411;1.0000;0.9465;1.0000
АгроМаркет;8;8;8;8;1.0000;1.0000;1.0000
ВторРесурсы;3;3;3;3;1.0000;1.0000;1.0000
РЯБА;7;0;7;7;0.0000;1.0000;1.0000
СЗ Сармич;23;23;23;23;1.0000;1.0000;1.0000
ЛМР Пласт;5;0;0;5;0.0000;0.0000;1.0000
Пчелка Золотая;4;0;0;4;0.0000;0.0000;1.0000
Олкеа;4;4;4;4;1.0000;1.0000;1.0000
СНЭК-Инжиниринг;122;122;122;122;1.0000;1.0000;1.0000
Квас Трейд;45;45;44;45;1.0000;0.9778;1.0000
Липецкптица;9;7;9;9;0.7778;1.0000;1.0000
Прод-Арс;4;0;4;4;0.0000;1.0000;1.0000
Светлояр;2;1;0;2;0.5000;0.0000;1.0000
Сафари кофе трейдинг;77;77;77;77;1.0000;1.0000;1.0000
Знак хлеба;4163;0;4078;4158;0.0000;0.9796;0.9988
Гуковская М.Ю.;14589;12025;14571;14567;0.8243;0.9988;0.9985
СОДРУЖЕСТВО;562;559;561;561;0.9947;0.9982;0.9982
Маслозавод Нытвенский;12574;12563;12559;12550;0.9991;0.9988;0.9981
Рыльский хлебозавод;442;441;441;441;0.9977;0.9977;0.9977
Тульский хлебокомбинат;6615;6165;6510;6598;0.9320;0.9841;0.9974
ХЛЕБОПЕК;3847;3755;3839;3837;0.9761;0.9979;0.9974
ХЛЕБ;14357;14010;12818;14319;0.9758;0.8928;0.9974
Муниров Азат Шамилевич;357;352;317;356;0.9860;0.8880;0.9972
"Орловский Хлебокомбинат ""Юность";5248;5223;5207;5233;0.9952;0.9922;0.9971
СТАО;859;119;737;856;0.1385;0.8580;0.9965
Хлебный Дом;532;530;530;530;0.9962;0.9962;0.9962
Молочный комбинат Авида;5222;0;5081;5202;0.0000;0.9730;0.9962
КОМОС ГРУПП;2261;2261;2254;2252;1.0000;0.9969;0.9960
"ТК ""МЕГАПОЛИС";433;0;259;431;0.0000;0.5982;0.9954
Никоноров Олег Евгеньевич;644;643;643;641;0.9984;0.9984;0.9953
Судогодский молочный завод;3257;3201;3201;3241;0.9828;0.9828;0.9951
Русский хлеб;1425;1423;1423;1418;0.9986;0.9986;0.9951
Карат Плюс;16439;16370;16365;16353;0.9958;0.9955;0.9948
Хлебокомбинат;4899;0;4772;4873;0.0000;0.9741;0.9947
Шахунское молоко;6004;5997;5981;5971;0.9988;0.9962;0.9945
Вязниковский хлебокомбинат;10563;0;10513;10505;0.0000;0.9953;0.9945
Сады придонья;359;0;318;357;0.0000;0.8858;0.9944
Витамины с грядки;358;0;357;356;0.0000;0.9972;0.9944
Сафоновохлеб;3636;3629;3609;3615;0.9981;0.9926;0.9942
Каравай;10964;9778;10669;10898;0.8918;0.9731;0.9940
КУХМАСТЕР;166;166;164;165;1.0000;0.9880;0.9940
