"acc_varcompanyname";"ord_cnt";"rsp_cnt";"des_cnt";"rec_cnt";"rsp_prc";"des_prc";"rec_prc"
Компания Холидей Производство;71;36;57;0;0.5070;0.8028;0.0000
Гладышева Ирина Александровна;10;10;2;0;1.0000;0.2000;0.0000
ВИКТОРИЯ;395;0;7;0;0.0000;0.0177;0.0000
ООО АЭРО;14;0;9;0;0.0000;0.6429;0.0000
Розничная сеть Ашан;46020;9722;10636;0;0.2113;0.2311;0.0000
ПРОВИЗИЯ;6;0;0;0;0.0000;0.0000;0.0000
Регион;4;4;4;0;1.0000;1.0000;0.0000
Имидж;14;0;0;0;0.0000;0.0000;0.0000
ТОМСКАЯ ОПТОВАЯ КОМПАНИЯ;4;3;3;0;0.7500;0.7500;0.0000
Роздухов М.Е.;4;2;2;0;0.5000;0.5000;0.0000
Лукойл;16572;427;5466;0;0.0258;0.3298;0.0000
Мясокурофф;1;0;1;0;0.0000;1.0000;0.0000
Кристалл;3;0;3;0;0.0000;1.0000;0.0000
"""Равис птицефабрика Сосновская""";1;1;1;0;1.0000;1.0000;0.0000
"""ТС РИОМАГ""";856;725;327;0;0.8470;0.3820;0.0000
Солнечный город;2;0;1;0;0.0000;0.5000;0.0000
Торговая сеть Аникс;1408;0;984;0;0.0000;0.6989;0.0000
СК-трейд;7;0;0;0;0.0000;0.0000;0.0000
Даль Сиб Дистрибьюшн;2;0;0;0;0.0000;0.0000;0.0000
ДЖИКЛАБ;2;0;2;0;0.0000;1.0000;0.0000
Эм-Си Баухеми;3;1;1;0;0.3333;0.3333;0.0000
ОКЕЙ;1;0;1;0;0.0000;1.0000;0.0000
Важенина;2;2;0;0;1.0000;0.0000;0.0000
Южная Сырная Компания;4;2;2;0;0.5000;0.5000;0.0000
РАЙЦЕНТР;15;0;0;0;0.0000;0.0000;0.0000
Бона Фиде Трейдинг;33;0;0;0;0.0000;0.0000;0.0000
Мегатитан;517;325;328;0;0.6286;0.6344;0.0000
"Торговый дом ""ВКТ";61;0;54;0;0.0000;0.8852;0.0000
Акватэрра;16;14;15;0;0.8750;0.9375;0.0000
Рыжов Владимир Владимирович;7;3;0;0;0.4286;0.0000;0.0000
ТД АГАТ;835;96;0;0;0.1150;0.0000;0.0000
БРИСТОЛЬ РИТЕЙЛ ЛОГИСТИКС;90;19;24;0;0.2111;0.2667;0.0000
АРН;22;0;0;0;0.0000;0.0000;0.0000
ТЕСТОВЫЙ АККАУНТ;3;0;0;0;0.0000;0.0000;0.0000
РИА Е-Продукт;8;6;5;0;0.7500;0.6250;0.0000
Котэкс-Торг;85;14;27;0;0.1647;0.3176;0.0000
Вест Трейд;17;16;15;0;0.9412;0.8824;0.0000
"Торговая Группа ""Наш магазин""";2024;44;0;0;0.0217;0.0000;0.0000
ФИРМА КОНУС;278;4;5;0;0.0144;0.0180;0.0000
Домино;4;4;4;0;1.0000;1.0000;0.0000
Алкогольная Региональная Компания;2;0;0;0;0.0000;0.0000;0.0000
Лотос-ритейл;330;59;155;0;0.1788;0.4697;0.0000
Беглецов Игорь Владимирович;2;2;2;0;1.0000;1.0000;0.0000
"888";673;33;234;0;0.0490;0.3477;0.0000
Очаг 678;6;4;4;0;0.6667;0.6667;0.0000
CARREFOUR;7;0;0;0;0.0000;0.0000;0.0000
ИнтерАвтоСервис;348;167;222;0;0.4799;0.6379;0.0000
Северное Молоко;11;0;0;0;0.0000;0.0000;0.0000
МПК Атяшевский;131;0;78;0;0.0000;0.5954;0.0000
Ритейл;4688;0;0;0;0.0000;0.0000;0.0000
ГАРАНТ-ТРЕЙД М;1373;294;25;0;0.2141;0.0182;0.0000
Лига Дистрибьюторов;3;3;3;0;1.0000;1.0000;0.0000
ГринТрейд;9;8;8;0;0.8889;0.8889;0.0000
"АМК ""Рязанский";257;0;31;0;0.0000;0.1206;0.0000
Континент;1;1;0;0;1.0000;0.0000;0.0000
Микромаркет;133;0;0;0;0.0000;0.0000;0.0000
ЛОТОС-СТОЛИЦА;2;2;1;0;1.0000;0.5000;0.0000
Чернышихинский мясокомбинат;56;0;0;0;0.0000;0.0000;0.0000
Роксэт-С;404;5;338;0;0.0124;0.8366;0.0000
Локос;3813;117;1124;0;0.0307;0.2948;0.0000
"""Компания ""Метрополис""";3;2;2;0;0.6667;0.6667;0.0000
;5;5;2;0;1.0000;0.4000;0.0000
«ДИКСИ» Филиал «МЕГАМАРТ» «ДИКСИ Юг»;7694;2166;1569;0;0.2815;0.2039;0.0000
"Торгово-промышленная компания ""Витязь""";11;10;10;0;0.9091;0.9091;0.0000
Табер Трейд;4273;0;2663;0;0.0000;0.6232;0.0000
Жирнов Д.Н.;28;0;16;0;0.0000;0.5714;0.0000
СИСЛИНК;31;1;1;0;0.0323;0.0323;0.0000
Евгения;435;0;245;0;0.0000;0.5632;0.0000
Компания Регул;10;6;10;0;0.6000;1.0000;0.0000
АНИСА-Н;8;0;7;0;0.0000;0.8750;0.0000
Торговый дом Восточный 4;4;3;3;0;0.7500;0.7500;0.0000
Моисеев Михаил Дмитриевич;22;21;0;0;0.9545;0.0000;0.0000
Кореновский молочно-консервный комбинат;2;2;2;0;1.0000;1.0000;0.0000
Вкусный Дом;550;141;290;0;0.2564;0.5273;0.0000
